Bob, VolksWagon, HQW 234, India, 2009, 2013
Ed, Facebook, LLL543, France, 1996, Inf
Jo, Google, 764KHE, India, 1980, Inf
Rob, IBM, 764KHE, Germany, 1982, Inf
Rob, Google, 654322123, France, 1965, 2007
Bee, IBM, 123HDA, Germany, 2013, Inf
Ali, VolksWagon, SAW432, India, 2005, Inf
Lee, IBM, 71653452, France, 1989, 1996
Bee, Facebook, 14221, Canada, 1998, 2012
Rob, ALD, 567890776, USA, 1991, Inf
Will, Intel, YTR IQW, France, 1975, Inf
Ada, IBM, 14221, India, 2004, Inf
Ed, Google, 14228, USA, 1964, 1974
Lee, IBM, HQW 234, Germany, 1978, 1984
Ali, ALD, 8F8HUi, India, 2009, 2016
Rob, Google, YTR IQW, France, 1975, Inf
Jo, Facebook, 8F8HUi, Canada, 2009, 2016
Bob, IBM, 654322123, France, 2009, Inf
Ada, IBM, YTR IQW, India, 2007, 2013
Jo, Facebook, LLL543, Germany, 1973, 2010
Bee, Facebook, 980LGD, France, 1989, Inf
Bill, Google, 980LGD, Canada, 2013, 2015
Ada, ALD, 14226, India, 1968, 2010
Ada, IBM, 980LGD, Canada, 2004, 2011
Jo, ALD, HQW 234, Germany, 1982, 1982
Jo, IBM, 123HDA, Germany, 2000, 2009
Ali, VolksWagon, SAW432, Germany, 1960, Inf
Bee, ALD, 765HSQ, Germany, 1961, Inf
Ada, VolksWagon, 8F8HUi, Germany, 2008, Inf
Jo, Facebook, 999HCS, France, 1969, 2013
Ed, IBM, H2Q 1XJ, France, 1976, 1981
Ali, VolksWagon, 98JHDR, France, 2009, Inf
Rob, Google, 8F8HUi, France, 1983, Inf
Bee, IBM, 980LGD, Germany, 1996, Inf
Bob, Google, LLL543, France, 1999, Inf
Bee, ALD, 654322123, Canada, 1962, Inf
Ada, Google, 654322123, USA, 1981, 2015
Rob, IBM, 999HCS, Germany, 1971, Inf
Rob, Intel, 123HDA, Canada, 1968, Inf
Bob, Google, 98JHDR, Canada, 1994, Inf
Lee, Intel, 567890776, Germany, 1986, Inf
Jo, Google, 654322123, Germany, 2017, Inf
Lee, Google, 8F8HUi, India, 2007, 2016
Bill, Intel, YTR IQW, USA, 2011, Inf
Bee, Google, HQW 234, USA, 2012, 2018
Lee, Google, LLL543, France, 1983, 1989
Ali, ALD, H3H 11Q, Germany, 1966, Inf
Lee, Facebook, ATT HVX, India, 1964, 2009
Bill, ALD, H2Q 1XJ, USA, 1993, 2009
Bob, Google, 14226, France, 1980, 1988
Bob, Google, 14228, USA, 1963, 1963
Will, ALD, 14221, Canada, 2008, Inf
Lee, IBM, YTR IQW, India, 1973, Inf
Rob, Intel, 14221, USA, 1990, Inf
Rob, ALD, 456789, Germany, 2005, 2006
Bill, VolksWagon, 654322123, France, 1993, 2017
Bob, VolksWagon, 764KHE, USA, 1996, 2011
Ed, Facebook, H3H 11Q, USA, 2013, 2017
Bob, Google, 123HDA, India, 2011, 2016
Ed, Google, 765HSQ, France, 2006, 2009
Ed, ALD, 98JHDR, India, 2011, 2016
Ali, Intel, 8F8HUi, USA, 2009, Inf
Ed, IBM, 14226, France, 1982, Inf
Ada, Facebook, ATT HVX, USA, 2017, Inf
Ada, Intel, 14228, India, 1977, 2014
Ada, IBM, HQW 234, Germany, 1990, 2013
Will, ALD, 764KHE, France, 2014, Inf
Bee, Intel, 8F8HUi, Germany, 1978, 2012
Bee, Google, LLL543, India, 2018, Inf
Ed, VolksWagon, 654322123, USA, 1969, Inf
Rob, Facebook, SAW432, France, 1962, 2014
Bee, Intel, 123HDA, India, 1960, Inf
Jo, Google, H3H 11Q, USA, 1999, 2016
Ali, IBM, 654322123, France, 2005, 2016
Jo, IBM, H2Q 1XJ, Germany, 1960, Inf
Ada, IBM, HQW 234, India, 2011, 2015
Jo, VolksWagon, LLL543, Canada, 1965, 2013
Ada, VolksWagon, H3H 11Q, Canada, 1971, Inf
Lee, IBM, GGG123, Germany, 1968, Inf
Bill, Intel, YTR IQW, USA, 2010, 2010
Ed, Intel, LLL543, India, 1978, Inf
Bill, ALD, 765HSQ, India, 1974, Inf
Lee, IBM, 456789, USA, 1976, Inf
Bob, ALD, 14228, Germany, 1993, 2005
Ali, IBM, 980LGD, India, 1964, Inf
Lee, ALD, 71653452, USA, 2006, 2011
Jo, Facebook, HQW 234, Canada, 1969, Inf
Bob, Google, 14221, France, 2009, Inf
Lee, Intel, GGG123, USA, 1965, Inf
Bill, Google, H2Q 1XJ, Canada, 1982, 1985
Bob, Google, ATT HVX, Canada, 1982, Inf
Ali, VolksWagon, 765HSQ, France, 2012, 2017
Ali, Google, 999HCS, France, 1963, Inf
Lee, Facebook, H2Q 1XJ, Canada, 2015, Inf
Bob, Facebook, HQW 234, USA, 1967, Inf
Lee, IBM, HQW 234, USA, 2017, 2019
Jo, ALD, 14228, Canada, 1990, Inf
Ed, IBM, 567890776, France, 1990, 1998
Bob, VolksWagon, 14226, France, 1983, Inf
Lee, IBM, ATT HVX, USA, 1974, 1993
Rob, VolksWagon, SAW432, USA, 2008, 2008
Jo, Facebook, 14221, Germany, 2014, Inf
Will, Google, YTR IQW, USA, 2000, 2005
Ada, ALD, 14228, Germany, 2012, Inf
Ali, Facebook, 654322123, India, 2008, Inf
Rob, ALD, SAW432, Canada, 2001, 2013
Bee, VolksWagon, YTR IQW, France, 2006, 2016
Ed, ALD, ATT HVX, USA, 1983, 1987
Ali, ALD, GGG123, India, 1973, Inf
Bee, ALD, 14221, France, 1978, Inf
Bee, ALD, 14228, France, 2009, Inf
Ali, VolksWagon, 14221, India, 1977, Inf
Ada, Intel, H3H 11Q, USA, 1973, 1999
Ali, Intel, LLL543, USA, 1960, 2018
Jo, Google, YTR IQW, France, 1965, 1966
Rob, Google, 980LGD, India, 1970, 2005
Bill, ALD, 567890776, USA, 2017, 2019
Will, ALD, 14226, Germany, 2001, Inf
Ed, Facebook, 456789, USA, 1987, Inf
Lee, Facebook, 456789, India, 1977, 2000
Jo, VolksWagon, 999HCS, France, 1993, Inf
Ada, Google, 98JHDR, Canada, 2010, Inf
Jo, Intel, LLL543, USA, 1999, 2004
Will, ALD, H3H 11Q, Germany, 1981, Inf
Rob, Facebook, 456789, Canada, 2011, Inf
Ali, Facebook, 123HDA, Canada, 1988, Inf
Ada, Google, GGG123, Germany, 2008, Inf
Bee, ALD, 764KHE, Germany, 1976, 2012
Ali, VolksWagon, H2Q 1XJ, USA, 1990, 2009
Will, Google, 14226, Canada, 1993, 2019
Rob, Intel, 764KHE, India, 2019, 2019
Will, Intel, ATT HVX, France, 1965, 1987
Ali, Google, H3H 11Q, Germany, 1974, 2013
Ed, VolksWagon, SAW432, India, 1979, 1987
Jo, Google, 980LGD, France, 2018, Inf
Will, IBM, ATT HVX, USA, 2012, Inf
Jo, Facebook, LLL543, Germany, 1960, Inf
Ali, VolksWagon, 98JHDR, USA, 1991, Inf
Jo, IBM, 765HSQ, Canada, 1988, 2007
Bob, VolksWagon, SAW432, Canada, 2008, 2018
Ali, Facebook, YTR IQW, Germany, 1961, Inf
Will, Google, 8F8HUi, France, 2000, Inf
Bill, Facebook, H2Q 1XJ, Canada, 1983, 2001
Bee, Intel, ATT HVX, Canada, 2010, 2010
Ada, VolksWagon, HQW 234, Canada, 2005, Inf
Jo, Facebook, 71653452, India, 1993, 2014
Ada, Facebook, H2Q 1XJ, France, 1995, 2015
Ada, Intel, 764KHE, France, 1964, Inf
Lee, Facebook, 764KHE, France, 1976, 1991
Ali, IBM, H2Q 1XJ, USA, 2017, Inf
Rob, Google, HQW 234, USA, 2004, 2014
Bill, ALD, 980LGD, Canada, 1969, Inf
Bob, Intel, LLL543, France, 1976, 2005
Bee, Intel, 765HSQ, USA, 1988, Inf
Bill, Google, 8F8HUi, France, 2014, 2015
Bee, ALD, 567890776, India, 2003, 2005
Lee, Google, 980LGD, France, 1990, 2007
Bob, Facebook, 123HDA, Canada, 2018, 2019
Rob, Intel, YTR IQW, Germany, 1974, Inf
Bill, IBM, 14221, India, 1974, 2000
Lee, IBM, H3H 11Q, France, 1974, 2004
Ali, Google, 567890776, France, 1989, Inf
Will, Google, 456789, India, 2016, 2016
Bee, Google, 123HDA, Canada, 2009, 2013
Jo, Google, SAW432, France, 1969, 1980
Bob, IBM, 14221, France, 2007, 2011
Bee, VolksWagon, 999HCS, Germany, 2006, Inf
Bill, Intel, 999HCS, Canada, 1983, 2014
Lee, ALD, ATT HVX, USA, 2018, 2018
Ada, Google, ATT HVX, USA, 1970, 1976
Ed, Intel, 71653452, Canada, 1977, Inf
Ada, Facebook, 999HCS, Germany, 1992, 1999
Bob, ALD, GGG123, Canada, 2009, 2016
Ed, Google, 765HSQ, France, 1999, 2001
Bill, Facebook, 123HDA, USA, 1970, Inf
Lee, IBM, 14228, USA, 1971, 1975
Bee, VolksWagon, 456789, USA, 1967, Inf
Ali, ALD, HQW 234, Germany, 1960, Inf
Ed, VolksWagon, LLL543, France, 2019, Inf
Will, Google, ATT HVX, Canada, 2012, 2012
Ali, Facebook, 14221, Germany, 1961, Inf
Bill, Facebook, 8F8HUi, France, 1960, Inf
Bob, Facebook, 567890776, India, 2010, Inf
Jo, VolksWagon, 14221, USA, 1960, Inf
Will, VolksWagon, LLL543, USA, 2007, Inf
Lee, ALD, 14228, USA, 1981, Inf
Rob, Intel, 765HSQ, Germany, 1994, Inf
Ada, ALD, HQW 234, USA, 1969, Inf
Bee, VolksWagon, 71653452, India, 1998, Inf
Lee, Google, 123HDA, USA, 1967, 2011
Bob, Google, SAW432, USA, 1986, Inf
Ed, VolksWagon, 71653452, India, 2001, 2012
Rob, Facebook, 14221, India, 1972, Inf
Ada, ALD, ATT HVX, Germany, 1984, Inf
Jo, Google, YTR IQW, Canada, 1976, Inf
Bob, Google, 456789, Germany, 1985, 1987
Will, Facebook, 999HCS, USA, 1978, 2002
Will, ALD, HQW 234, France, 2007, 2014
Ed, IBM, 654322123, USA, 1961, Inf
Bill, IBM, LLL543, Canada, 2009, Inf
Bee, Facebook, 980LGD, France, 1964, Inf
Will, Google, 765HSQ, USA, 2017, Inf
Jo, VolksWagon, 14221, Canada, 2007, Inf
Ada, VolksWagon, LLL543, Germany, 1965, 1993
Bob, VolksWagon, 8F8HUi, France, 1977, 2002
Rob, ALD, LLL543, France, 2019, Inf
Ada, VolksWagon, 14226, India, 1963, Inf
Jo, IBM, 8F8HUi, Germany, 1985, 1994
Ed, IBM, 654322123, France, 1962, 1995
Bee, Google, 14221, India, 2012, Inf
Lee, IBM, 999HCS, USA, 1971, 2006
Ed, IBM, ATT HVX, India, 1999, 2001
Will, VolksWagon, 123HDA, India, 1988, 1988
Ali, Facebook, ATT HVX, Canada, 1978, 1993
Lee, IBM, 8F8HUi, Canada, 1964, 1969
Ali, Facebook, 999HCS, USA, 2012, 2018
Rob, Intel, 14221, Germany, 2012, 2019
Lee, IBM, 765HSQ, Canada, 1976, Inf
Ali, VolksWagon, 71653452, Germany, 1990, Inf
Bob, Google, 123HDA, Germany, 1999, 2004
Will, ALD, 567890776, Canada, 1991, 2006
Lee, Intel, H3H 11Q, India, 1969, 2005
Rob, Intel, ATT HVX, India, 2009, 2012
Bill, Facebook, 999HCS, Germany, 1976, Inf
Bee, IBM, HQW 234, India, 1998, 2013
Ada, ALD, 123HDA, France, 2006, Inf
Bee, VolksWagon, 980LGD, USA, 2000, 2012
Bee, Google, 8F8HUi, Canada, 2010, Inf
Lee, Facebook, SAW432, Germany, 1985, 1985
Rob, IBM, H3H 11Q, USA, 1969, Inf
Ali, IBM, SAW432, Germany, 2012, 2012
Lee, Facebook, 123HDA, Germany, 1985, Inf
Lee, Google, 14226, France, 1982, Inf
Lee, Facebook, 14228, India, 1968, Inf
Bill, Google, 14228, India, 1965, 1977
Will, IBM, 567890776, Canada, 1984, Inf
Will, Intel, ATT HVX, Canada, 2001, Inf
Lee, VolksWagon, H2Q 1XJ, USA, 1991, Inf
Lee, Intel, 14221, France, 1989, Inf
Jo, ALD, 567890776, Germany, 2005, 2008
Rob, VolksWagon, 8F8HUi, Germany, 2011, Inf
Ali, Facebook, 14226, France, 2015, Inf
Rob, IBM, 14226, USA, 1974, Inf
Ed, Facebook, 8F8HUi, Canada, 2005, 2013
Rob, ALD, 980LGD, India, 1996, 1997
Jo, VolksWagon, 71653452, India, 1966, 2009
Will, Google, 14221, USA, 2008, 2018
Bill, VolksWagon, 71653452, India, 1999, Inf
Jo, Intel, SAW432, Canada, 2011, 2016
Will, Intel, 456789, Canada, 1999, Inf
Ada, Google, 71653452, Germany, 2008, 2019
Ed, VolksWagon, 123HDA, France, 1991, Inf
Ali, Google, SAW432, France, 1986, 2006
Ed, ALD, SAW432, Canada, 2000, Inf
Jo, VolksWagon, 14226, USA, 2005, Inf
Ada, Google, SAW432, Germany, 1965, Inf
Will, IBM, LLL543, France, 1966, 1966
Ada, VolksWagon, 123HDA, USA, 2013, Inf
Lee, Intel, 71653452, USA, 2000, Inf
Will, VolksWagon, 123HDA, India, 1997, Inf
Jo, ALD, 456789, India, 2019, 2019
Bee, VolksWagon, 456789, France, 1991, Inf
Lee, ALD, ATT HVX, Germany, 2016, 2018
Bee, IBM, SAW432, Canada, 1980, 1994
Lee, IBM, 14228, France, 2005, 2015
Bob, ALD, GGG123, France, 1975, 2011
Lee, ALD, 98JHDR, Canada, 1989, Inf
Jo, VolksWagon, YTR IQW, France, 2014, Inf
Lee, ALD, GGG123, Canada, 2004, Inf
Jo, ALD, 8F8HUi, India, 2005, Inf
Bob, VolksWagon, HQW 234, Germany, 1968, 1998
Ed, IBM, H2Q 1XJ, France, 2008, 2018
Lee, Google, H2Q 1XJ, Germany, 1966, 2018
Bill, ALD, YTR IQW, Germany, 1985, 2003
Jo, Google, 123HDA, Canada, 1979, 1990
Rob, VolksWagon, H3H 11Q, India, 2015, 2015
Bee, VolksWagon, GGG123, India, 2014, Inf
Ed, ALD, 567890776, Germany, 2004, Inf
Ada, Intel, HQW 234, France, 1986, 2010
Will, VolksWagon, 765HSQ, Germany, 1999, 2006
Bee, Intel, 98JHDR, India, 1983, Inf
Will, ALD, 8F8HUi, Germany, 2000, Inf
Rob, Google, 14228, USA, 2006, 2014
Ali, Intel, 456789, USA, 1978, 1984
Ada, Google, LLL543, USA, 2013, 2013
Bob, VolksWagon, 567890776, USA, 1988, 2011
Rob, Google, 14228, Germany, 2010, 2016
Bee, Facebook, 654322123, India, 1972, 2005
Jo, IBM, 999HCS, India, 2005, 2008
Rob, Facebook, 980LGD, USA, 2001, 2003
Bill, Intel, ATT HVX, France, 1962, 1962
Bee, Facebook, 764KHE, Canada, 1966, Inf
Ed, ALD, 14226, USA, 1999, 2014
Jo, Google, 14226, USA, 2001, Inf
Ed, Intel, ATT HVX, USA, 2008, Inf
Will, Facebook, SAW432, France, 1974, Inf
Jo, Facebook, 764KHE, Canada, 2003, Inf
Rob, VolksWagon, 71653452, Canada, 2011, Inf
Ali, Intel, 71653452, India, 1988, Inf
Ed, IBM, GGG123, France, 1995, Inf
Ed, Intel, 999HCS, USA, 1963, Inf
Bee, VolksWagon, 8F8HUi, Germany, 1997, 2001
Bill, IBM, 14228, USA, 2000, 2007
Ada, VolksWagon, HQW 234, Germany, 1989, 2006
Will, Google, H3H 11Q, France, 2013, 2017
Bill, Intel, 14221, France, 1993, Inf
Lee, VolksWagon, 98JHDR, Germany, 2004, Inf
Bee, Google, 999HCS, USA, 1963, 1980
Rob, Facebook, 14226, India, 1970, Inf
Lee, Google, 654322123, France, 2018, Inf
Will, ALD, LLL543, India, 1970, Inf
Ali, VolksWagon, 980LGD, Germany, 1988, 1998
Rob, VolksWagon, YTR IQW, USA, 1964, Inf
Ada, VolksWagon, SAW432, Germany, 1975, Inf
Rob, Google, 456789, France, 1999, Inf
Bob, IBM, GGG123, Germany, 2010, 2016
Ed, Facebook, 14228, France, 1970, 1980
Bee, IBM, H2Q 1XJ, USA, 2015, 2016
Ali, Google, ATT HVX, Germany, 1967, 2001
Will, IBM, SAW432, USA, 1981, 1982
Ada, IBM, 654322123, Canada, 1983, Inf
Bill, IBM, 456789, Canada, 1967, 2013
Ali, ALD, 980LGD, France, 2012, 2015
Jo, VolksWagon, LLL543, France, 1964, 1968
Ada, ALD, 14221, France, 2016, Inf
Rob, IBM, HQW 234, Canada, 2009, Inf
Ed, Google, 567890776, France, 1973, 1983
Bill, Facebook, YTR IQW, France, 1999, Inf
Bob, Google, 654322123, USA, 1978, Inf
Rob, Google, 123HDA, India, 1972, 1979
Lee, Facebook, 456789, France, 1960, 1998
Will, VolksWagon, ATT HVX, France, 1974, Inf
Ali, VolksWagon, 980LGD, Germany, 1979, Inf
Ada, Facebook, HQW 234, India, 1975, Inf
Ali, Google, 14221, USA, 2011, 2012
Rob, IBM, GGG123, USA, 1989, Inf
Bee, Facebook, LLL543, USA, 1978, 2011
Ali, IBM, ATT HVX, France, 1998, 2019
Ali, VolksWagon, LLL543, USA, 1972, Inf
Bee, VolksWagon, 14226, Canada, 1965, Inf
Bill, Google, 98JHDR, India, 1983, 2008
Ali, ALD, 8F8HUi, Canada, 1976, Inf
Bee, VolksWagon, 71653452, USA, 1972, 1999
Bee, Facebook, 14221, France, 1983, 2007
Ed, Facebook, H3H 11Q, France, 1982, Inf
Jo, IBM, SAW432, India, 2009, Inf
Lee, Intel, HQW 234, Canada, 1985, Inf
Bill, Intel, 8F8HUi, Canada, 1993, 2003
Bob, Facebook, 764KHE, France, 2015, Inf
Bob, VolksWagon, 8F8HUi, France, 2019, Inf
Bee, Facebook, 654322123, USA, 1972, 1988
Will, IBM, ATT HVX, Germany, 2006, Inf
Ali, Google, 456789, India, 1981, 1996
Ada, VolksWagon, 765HSQ, USA, 2005, 2016
Bob, Intel, 123HDA, USA, 2017, Inf
Jo, IBM, H3H 11Q, France, 1990, Inf
Will, Facebook, 567890776, Germany, 1967, Inf
Will, Intel, SAW432, France, 2006, Inf
Ada, VolksWagon, 567890776, India, 2012, 2019
Ed, ALD, 764KHE, India, 1996, Inf
Rob, IBM, 98JHDR, France, 1966, Inf
Will, ALD, 764KHE, Canada, 2002, 2008
Ed, Facebook, 765HSQ, Germany, 1975, Inf
Ali, ALD, LLL543, Canada, 1971, 1972
Jo, Facebook, 98JHDR, India, 1979, Inf
Rob, ALD, 123HDA, France, 2010, 2010
Lee, VolksWagon, 14221, Germany, 2000, Inf
Ada, Intel, 456789, India, 1985, 2002
Ada, Facebook, 14226, Germany, 1967, Inf
Ada, IBM, 8F8HUi, India, 2010, Inf
Ada, Intel, SAW432, Germany, 2011, 2019
Ali, Intel, 654322123, USA, 1986, 2005
Ed, ALD, 71653452, Germany, 1991, Inf
Lee, IBM, 14226, India, 1995, 2007
Rob, Facebook, 999HCS, Germany, 1983, 1992
Will, ALD, LLL543, USA, 1992, 1997
Bee, ALD, 999HCS, India, 1985, Inf
Bee, IBM, 8F8HUi, Germany, 1976, 1989
Jo, Intel, 980LGD, India, 1991, 2007
Ada, Facebook, HQW 234, Canada, 2015, 2017
Bee, Facebook, 14228, Germany, 1988, 1993
Ada, VolksWagon, H3H 11Q, Germany, 2017, Inf
Rob, ALD, 8F8HUi, India, 1981, Inf
Ada, Google, SAW432, USA, 1963, Inf
Ali, Google, 14228, France, 1984, 2001
Lee, Facebook, SAW432, Canada, 1989, Inf
Bill, ALD, 654322123, Germany, 2014, Inf
Ada, Intel, 14226, France, 1994, 2002
Will, VolksWagon, 14226, India, 1980, Inf
Will, Intel, 14221, USA, 2019, Inf
Jo, VolksWagon, 456789, India, 1994, 2017
Bee, ALD, 567890776, India, 2008, 2016
Ed, Facebook, ATT HVX, Canada, 1984, 1999
Rob, Facebook, 765HSQ, Canada, 1988, 2013
Bee, Facebook, ATT HVX, USA, 1998, Inf
Bee, Intel, 8F8HUi, India, 1975, Inf
Bee, Intel, 123HDA, Canada, 2017, Inf
Ada, VolksWagon, H3H 11Q, Germany, 1988, 2006
Ali, Intel, LLL543, Canada, 2002, Inf
Bob, VolksWagon, 567890776, France, 1961, 1965
Ed, VolksWagon, LLL543, Germany, 1994, Inf
Will, ALD, SAW432, France, 2013, Inf
Will, Google, 14221, USA, 2006, Inf
Bob, VolksWagon, 567890776, France, 1980, Inf
Lee, IBM, 567890776, Germany, 1986, Inf
Ali, Google, 14228, USA, 1969, 2005
Rob, Intel, 765HSQ, France, 1972, 1998
Ada, Facebook, H2Q 1XJ, Canada, 1995, Inf
Ali, Facebook, 765HSQ, Germany, 2004, Inf
Ed, IBM, 764KHE, USA, 1967, 2012
Bob, Intel, 456789, USA, 1983, 2014
Rob, ALD, H2Q 1XJ, USA, 1968, 1992
Will, IBM, 98JHDR, India, 2015, 2017
Bill, Facebook, HQW 234, France, 2006, 2007
Rob, ALD, 14226, France, 1978, 2009
Lee, IBM, 764KHE, France, 1964, 2019
Bob, IBM, YTR IQW, Germany, 2011, 2019
Rob, Intel, ATT HVX, France, 1991, Inf
Ali, IBM, 98JHDR, Germany, 2008, 2013
Bee, IBM, 980LGD, Canada, 1982, 2018
Bill, Intel, 14226, India, 2003, Inf
Will, Google, 765HSQ, Canada, 2003, 2018
Ali, Facebook, 8F8HUi, France, 1966, 2017
